date,investment,cy_invested,reserve_amt,current,today_pnl_amount,today_pnl_percentage,curr_pnl_amount,curr_pnl_percentage,cy_pnl_amount,cy_pnl_percentage,total_profit,total_loss,overall_pnl_amount,overall_pnl_percentage,total_booked_amt,total_booked_percentage,cy_booked_amt,cy_booked_percentage,py_booked_amt,py_booked_percentage,estimate_st,est_st_pnl_amount,est_st_pnl_percentage,estimate_lt,est_lt_pnl_amount,est_lt_pnl_percentage,cagr
07-11-2025,12562407,15260407,105500,14278103.0,-16394.0,-0.11,-2178274.0,-14.27,-913261.0,-5.98,204764.0,-2383039.0,1784739.0,14.21,3963013,31.55,1265013,8.86,2698000,21.48,23154754.0,8876651.0,62.17,29043807.0,14765704.0,103.42,7.47
10-11-2025,12562407,15260407,260000,14293879.0,11254.0,0.08,-2219688.0,-14.55,-899675.0,-5.9,158503.0,-2378192.0,1798325.0,14.32,4018013,31.98,1320013,9.23,2698000,21.48,23220006.0,8926127.0,62.45,28945419.0,14651540.0,102.5,7.52
11-11-2025,12562407,15260407,559000,14319679.0,26081.0,0.18,-2222216.0,-14.56,-873203.0,-5.72,137655.0,-2359872.0,1824797.0,14.53,4047013,32.22,1349013,9.42,2698000,21.48,23008020.0,8688341.0,60.67,28733433.0,14413754.0,100.66,7.62
12-11-2025,12562407,15260407,150500,14522422.0,141999.0,0.99,-2140953.0,-14.03,-788953.0,-5.17,191020.0,-2331977.0,1909047.0,15.2,4050000,32.24,1352000,9.31,2698000,21.48,23330394.0,8807972.0,60.65,28685698.0,14163276.0,97.53,8.45
13-11-2025,12562407,15260407,3000,14526797.0,-49042.0,-0.34,-2015488.0,-13.21,-663488.0,-4.35,190362.0,-2205860.0,2034512.0,16.2,4050000,32.24,1352000,9.31,2698000,21.48,23631509.0,9104712.0,62.68,28900630.0,14373833.0,98.95,8.45
14-11-2025,12562407,15260407,3000,14521608.0,-4488.0,-0.03,-2020677.0,-13.24,-668677.0,-4.38,190831.0,-2211511.0,2029323.0,16.15,4050000,32.24,1352000,9.31,2698000,21.48,23630062.0,9108454.0,62.72,28899183.0,14377575.0,99.01,8.42
17-11-2025,12562407,15260407,1600,14577925.0,51389.0,0.35,-2006870.0,-13.15,-610870.0,-4.0,175703.0,-2182572.0,2087130.0,16.61,4094000,32.59,1396000,9.58,2698000,21.48,23668122.0,9090197.0,62.36,28880646.0,14302721.0,98.11,8.61
18-11-2025,12562407,15260407,1600,14484537.0,-92992.0,-0.64,-2100258.0,-13.76,-704258.0,-4.61,154948.0,-2255208.0,1993742.0,15.87,4094000,32.59,1396000,9.64,2698000,21.48,23520087.0,9035550.0,62.38,28880170.0,14395633.0,99.39,8.21
19-11-2025,12562407,15260407,115800,14455095.0,-8323.0,-0.06,-2124294.0,-13.92,-728294.0,-4.77,169831.0,-2294128.0,1969706.0,15.68,4094000,32.59,1396000,9.66,2698000,21.48,23375424.0,8920329.0,61.71,28091602.0,13636507.0,94.34,8.08
20-11-2025,12562407,15260407,400,14461031.0,6230.0,0.04,-2118122.0,-13.88,-729122.0,-4.78,178401.0,-2296526.0,1968878.0,15.67,4087000,32.53,1389000,9.61,2698000,21.48,23120236.0,8659205.0,59.88,28135139.0,13674108.0,94.56,8.09
21-11-2025,12562407,15260407,400,14316918.0,-142483.0,-0.99,-2262235.0,-14.82,-873235.0,-5.72,149162.0,-2411394.0,1824765.0,14.53,4087000,32.53,1389000,9.7,2698000,21.48,23120236.0,8803318.0,61.49,28135139.0,13818221.0,96.52,7.49
24-11-2025,12562407,15260407,400,14244808.0,-72110.0,-0.5,-2334345.0,-15.3,-945345.0,-6.19,139111.0,-2473456.0,1752655.0,13.95,4087000,32.53,1389000,9.75,2698000,21.48,23120236.0,8875428.0,62.31,28135139.0,13890331.0,97.51,7.16
25-11-2025,12562407,15260407,400,14218202.0,-26606.0,-0.19,-2360951.0,-15.47,-971951.0,-6.37,127637.0,-2488588.0,1726049.0,13.74,4087000,32.53,1389000,9.77,2698000,21.48,23120236.0,8902034.0,62.61,28135139.0,13916937.0,97.88,7.04
26-11-2025,12562407,15260407,400,14367777.0,149575.0,1.05,-2211376.0,-14.49,-822376.0,-5.39,164412.0,-2375785.0,1875624.0,14.93,4087000,32.53,1389000,9.67,2698000,21.48,23120235.0,8752458.0,60.92,28135138.0,13767361.0,95.82,7.64
27-11-2025,12562407,15260407,400,14342429.0,-25348.0,-0.18,-2236724.0,-14.66,-847724.0,-5.56,174496.0,-2411219.0,1850276.0,14.73,4087000,32.53,1389000,9.68,2698000,21.48,23120235.0,8777806.0,61.2,28135138.0,13792709.0,96.17,7.52
